id,goals,assists,cleansheets,influence,creativity,threat,ict,minutes,gw
334,0,0,0,0.0,0.0,0.0,0.0,0,8
335,0,0,0,0.0,0.0,0.0,0.0,0,8
336,0,0,0,0.0,0.0,0.0,0.0,0,8
337,0,0,0,0.0,0.0,0.0,0.0,0,8
353,0,0,1,14.6,1.6,0.0,1.6,90,8
354,0,0,1,30.2,0.3,2.0,3.3,90,8
355,0,0,0,0.0,0.0,0.0,0.0,0,8
356,0,0,0,0.0,0.0,0.0,0.0,0,8
357,0,0,0,0.0,0.0,0.0,0.0,0,8
358,0,0,1,16.4,1.1,0.0,1.8,90,8
359,0,0,1,18.0,28.3,0.0,4.6,90,8
360,0,0,0,0.0,0.0,0.0,0.0,0,8
361,0,0,0,1.8,0.1,8.0,1.0,56,8
376,0,0,0,13.0,1.3,4.0,1.8,83,8
377,0,0,0,21.0,1.1,4.0,2.6,90,8
378,0,0,0,0.0,0.0,0.0,0.0,0,8
379,0,0,0,3.4,0.5,0.0,0.4,6,8
380,0,1,0,40.6,57.3,2.0,10.0,90,8
381,0,0,0,14.0,1.9,33.0,4.9,90,8
382,0,0,0,0.0,0.0,0.0,0.0,0,8
383,0,0,0,0.0,0.0,0.0,0.0,0,8
384,0,0,0,0.0,0.0,0.0,0.0,0,8
401,0,0,0,11.6,0.3,0.0,1.2,22,8
402,0,0,0,0.2,0.0,0.0,0.0,16,8
403,0,0,1,26.0,0.1,0.0,2.6,90,8
404,0,0,1,19.0,0.2,0.0,1.9,77,8
405,0,0,1,36.6,0.3,0.0,3.7,90,8
406,0,0,1,9.0,0.3,6.0,1.5,73,8
407,0,0,0,5.0,0.0,0.0,0.5,12,8
408,0,0,0,0.0,0.0,0.0,0.0,0,8
423,0,0,1,13.4,3.2,6.0,2.3,90,8
433,0,0,0,0.0,0.0,0.0,0.0,0,8
439,0,0,0,17.2,0.2,17.0,3.4,33,8
440,0,0,0,0.0,0.0,0.0,0.0,0,8
444,0,0,0,0.0,0.0,0.0,0.0,0,8
445,0,0,0,26.4,0.3,2.0,2.9,90,8
446,0,0,0,16.2,1.0,17.0,3.4,78,8
447,0,0,0,4.8,14.6,1.0,2.0,54,8
452,0,0,0,6.2,0.3,0.0,0.7,15,8
454,0,0,0,0.0,0.0,0.0,0.0,0,8
455,0,0,1,20.2,0.3,4.0,2.5,74,8
458,0,0,0,16.4,11.9,0.0,2.8,90,8
459,0,0,0,25.2,0.3,4.0,3.0,90,8
467,0,0,1,15.4,13.0,45.0,7.3,90,8
473,0,0,0,0.0,0.0,0.0,0.0,0,8
475,0,0,1,24.8,25.8,8.0,5.9,90,8
477,0,0,0,0.0,0.0,0.0,0.0,0,8
478,0,0,0,0.0,0.0,0.0,0.0,0,8
481,0,0,0,13.0,2.3,0.0,1.5,90,8
484,0,0,0,0.0,0.0,0.0,0.0,0,8
485,0,0,0,0.0,0.0,0.0,0.0,0,8
486,0,0,0,0.0,0.0,0.0,0.0,0,8
493,0,0,1,24.8,10.8,2.0,3.8,90,8
